;;;;;
Print as PDF!;;;;;
;;;;;
;;;;;
;;;;;
Building type;;Construction year class;Building variant;;
German national code;TABULA Code;;;;
;;;;;
;;;;;
Gebäudetyp;;"Baualters-
klasse";Gebäudevariante;;
Code;TABULA Code;;;;
;;;;living_space_m2;living_space_share
;;;;3.778,2;
EFH_E;DE.N.SFH.05.Gen;1958 ... 1968;002;39,8;0,010533499
EFH_F;DE.N.SFH.06.Gen;1969 ... 1978;002;42,5;0,011258281
EFH_G;DE.N.SFH.07.Gen;1979 ... 1983;002;6,1;0,00161274
EFH_H;DE.N.SFH.08.Gen;1984 ... 1994;002;9,9;0,002609706
EFH_I;DE.N.SFH.09.Gen;1995 ... 2001;002;8,8;0,002316481
EFH_J;DE.N.SFH.10.Gen;2002 ... 2009;002;6,6;0,001744691
RH_B;DE.N.TH.02.Gen;1860 ... 1918;002;12,7;0,003349808
RH_C;DE.N.TH.03.Gen;1919 ... 1948;002;15,0;0,003962142
RH_D;DE.N.TH.04.Gen;1949 ... 1957;002;9,5;0,002512578
RH_E;DE.N.TH.05.Gen;1958 ... 1968;002;13,9;0,003672229
RH_F;DE.N.TH.06.Gen;1969 ... 1978;002;14,4;0,003817185
RH_G;DE.N.TH.07.Gen;1979 ... 1983;002;2,5;0,000659757
RH_H;DE.N.TH.08.Gen;1984 ... 1994;002;4,7;0,001246208
RH_I;DE.N.TH.09.Gen;1995 ... 2001;002;4,4;0,001172902
RH_J;DE.N.TH.10.Gen;2002 ... 2009;002;2,9;0,000762386
MFH_A;DE.N.MFH.01.Gen; ... 1859;002;2,9;0,000773101
MFH_B;DE.N.MFH.02.Gen;1860 ... 1918;002;29,8;0,007875964
MFH_C;DE.N.MFH.03.Gen;1919 ... 1948;002;23,5;0,006233125
MFH_D;DE.N.MFH.04.Gen;1949 ... 1957;002;22,8;0,00603985
MFH_E;DE.N.MFH.05.Gen;1958 ... 1968;002;41,1;0,01087173
MFH_F;DE.N.MFH.06.Gen;1969 ... 1978;002;30,9;0,008165877
MFH_G;DE.N.MFH.07.Gen;1979 ... 1983;002;3,5;0,000938321
MFH_H;DE.N.MFH.08.Gen;1984 ... 1994;002;7,4;0,001949949
MFH_I;DE.N.MFH.09.Gen;1995 ... 2001;002;5,8;0,001524772
MFH_J;DE.N.MFH.10.Gen;2002 ... 2009;002;2,2;0,00057179
GMH_B;DE.N.AB.02.Gen;1860 ... 1918;002;6,7;0,001763636
GMH_C;DE.N.AB.03.Gen;1919 ... 1948;002;1,4;0,000381719
GMH_D;DE.N.AB.04.Gen;1949 ... 1957;002;3,1;0,00082142
GMH_E;DE.N.AB.05.Gen;1958 ... 1968;002;8,6;0,002275816
GMH_F;DE.N.AB.06.Gen;1969 ... 1978;002;32,7;0,008663561
HH_E;DE.N.AB.05.HR;1958 ... 1968;002;;0
HH_F;DE.N.AB.06.HR;1969 ... 1978;002;;0
EFH_F/F;DE.N.SFH.06.LightFrame;1969 ... 1978;002;;0
NBL_MFH_D;DE.East.MFH.04.Gen;1949 ... 1957;002;;0
NBL_MFH_E;DE.East.MFH.05.Gen;1958 ... 1968;002;;0
NBL_GMH_F;DE.East.AB.06.Gen;1969 ... 1978;002;;0
NBL_GMH_G;DE.East.AB.07.Gen;1979 ... 1983;002;;0
NBL_GMH_H;DE.East.AB.08.Gen;1984 ... 1994;002;;0
NBL_HH_F;DE.East.AB.06.HR;1969 ... 1978;002;;0
NBL_HH_G;DE.East.AB.07.HR;1979 ... 1983;002;;0
EFH_A;DE.N.SFH.01.Gen; ... 1859;003;0,4;0,000116982
EFH_B;DE.N.SFH.02.Gen;1860 ... 1918;003;1,3;0,000343318
EFH_C;DE.N.SFH.03.Gen;1919 ... 1948;003;1,4;0,000381464
EFH_D;DE.N.SFH.04.Gen;1949 ... 1957;003;1,1;0,000294999
EFH_E;DE.N.SFH.05.Gen;1958 ... 1968;003;2,1;0,000554395
EFH_F;DE.N.SFH.06.Gen;1969 ... 1978;003;2,2;0,000592541
EFH_G;DE.N.SFH.07.Gen;1979 ... 1983;003;1,5;0,000403185
EFH_H;DE.N.SFH.08.Gen;1984 ... 1994;003;2,5;0,000652427
EFH_I;DE.N.SFH.09.Gen;1995 ... 2001;003;2,2;0,00057912
EFH_J;DE.N.SFH.10.Gen;2002 ... 2009;003;1,6;0,000436173
RH_B;DE.N.TH.02.Gen;1860 ... 1918;003;0,8;0,000205991
RH_C;DE.N.TH.03.Gen;1919 ... 1948;003;0,8;0,000208534
RH_D;DE.N.TH.04.Gen;1949 ... 1957;003;0,5;0,000132241
RH_E;DE.N.TH.05.Gen;1958 ... 1968;003;0,7;0,000193275
RH_F;DE.N.TH.06.Gen;1969 ... 1978;003;0,8;0,000200904
RH_G;DE.N.TH.07.Gen;1979 ... 1983;003;0,6;0,000164939
RH_H;DE.N.TH.08.Gen;1984 ... 1994;003;1,2;0,000311552
RH_I;DE.N.TH.09.Gen;1995 ... 2001;003;1,1;0,000293225
RH_J;DE.N.TH.10.Gen;2002 ... 2009;003;0,7;0,000190597
MFH_A;DE.N.MFH.01.Gen; ... 1859;003;0,2;4,06895E-05
MFH_B;DE.N.MFH.02.Gen;1860 ... 1918;003;1,6;0,000414524
MFH_C;DE.N.MFH.03.Gen;1919 ... 1948;003;1,2;0,000328059
MFH_D;DE.N.MFH.04.Gen;1949 ... 1957;003;1,2;0,000317887
MFH_E;DE.N.MFH.05.Gen;1958 ... 1968;003;2,2;0,000572196
MFH_F;DE.N.MFH.06.Gen;1969 ... 1978;003;1,6;0,000429783
MFH_G;DE.N.MFH.07.Gen;1979 ... 1983;003;0,9;0,00023458
MFH_H;DE.N.MFH.08.Gen;1984 ... 1994;003;1,8;0,000487487
MFH_I;DE.N.MFH.09.Gen;1995 ... 2001;003;1,4;0,000381193
MFH_J;DE.N.MFH.10.Gen;2002 ... 2009;003;0,5;0,000142947
GMH_B;DE.N.AB.02.Gen;1860 ... 1918;003;0,4;9,2823E-05
GMH_C;DE.N.AB.03.Gen;1919 ... 1948;003;0,1;2,00904E-05
GMH_D;DE.N.AB.04.Gen;1949 ... 1957;003;0,2;4,32326E-05
